"wordrep"	"letters"	"word_accuracy"	"iksis"	"responses"	"suppression"	"subject"
"85"	"that"	"t"	1	287	"t"	"Normal"	"p10crandom.txt"
"86"	"that"	"h"	1	136	"h"	"Normal"	"p10crandom.txt"
"87"	"that"	"a"	1	128	"a"	"Normal"	"p10crandom.txt"
"88"	"that"	"t"	1	104	"t"	"Normal"	"p10crandom.txt"
"89"	"have"	"h"	1	152	"h"	"Normal"	"p10crandom.txt"
"90"	"have"	"a"	1	88	"a"	"Normal"	"p10crandom.txt"
"91"	"have"	"v"	1	104	"v"	"Normal"	"p10crandom.txt"
"92"	"have"	"e"	1	48	"e"	"Normal"	"p10crandom.txt"
"93"	"no"	"n"	1	152	"n"	"Normal"	"p10crandom.txt"
"94"	"no"	"o"	1	152	"o"	"Normal"	"p10crandom.txt"
"95"	"working"	"w"	1	120	"w"	"Normal"	"p10crandom.txt"
"96"	"working"	"o"	1	104	"o"	"Normal"	"p10crandom.txt"
"97"	"working"	"r"	1	128	"r"	"Normal"	"p10crandom.txt"
"98"	"working"	"k"	1	80	"k"	"Normal"	"p10crandom.txt"
"99"	"working"	"i"	1	168	"i"	"Normal"	"p10crandom.txt"
"100"	"working"	"n"	1	176	"n"	"Normal"	"p10crandom.txt"
"101"	"working"	"g"	1	72	"g"	"Normal"	"p10crandom.txt"
"102"	"instinct"	"i"	1	72	"i"	"Normal"	"p10crandom.txt"
"103"	"instinct"	"n"	1	200	"n"	"Normal"	"p10crandom.txt"
"104"	"instinct"	"s"	1	128	"s"	"Normal"	"p10crandom.txt"
"105"	"instinct"	"t"	1	817	"t"	"Normal"	"p10crandom.txt"
"106"	"instinct"	"i"	1	79	"i"	"Normal"	"p10crandom.txt"
"107"	"instinct"	"n"	1	176	"n"	"Normal"	"p10crandom.txt"
"108"	"instinct"	"c"	1	96	"c"	"Normal"	"p10crandom.txt"
"109"	"instinct"	"t"	1	232	"t"	"Normal"	"p10crandom.txt"
"110"	"whatever,"	"w"	1	119	"w"	"Normal"	"p10crandom.txt"
"111"	"whatever,"	"h"	1	144	"h"	"Normal"	"p10crandom.txt"
"112"	"whatever,"	"a"	1	72	"a"	"Normal"	"p10crandom.txt"
"113"	"whatever,"	"t"	1	417	"t"	"Normal"	"p10crandom.txt"
"114"	"whatever,"	"e"	1	431	"e"	"Normal"	"p10crandom.txt"
"115"	"whatever,"	"v"	1	88	"v"	"Normal"	"p10crandom.txt"
"116"	"whatever,"	"e"	1	152	"e"	"Normal"	"p10crandom.txt"
"117"	"whatever,"	"r"	1	33	"r"	"Normal"	"p10crandom.txt"
"118"	"whatever,"	","	1	263	","	"Normal"	"p10crandom.txt"
"119"	"and"	"a"	1	192	"a"	"Normal"	"p10crandom.txt"
"120"	"and"	"n"	1	160	"n"	"Normal"	"p10crandom.txt"
"121"	"and"	"d"	1	64	"d"	"Normal"	"p10crandom.txt"
"122"	"will"	"w"	1	152	"w"	"Normal"	"p10crandom.txt"
"123"	"will"	"i"	1	192	"i"	"Normal"	"p10crandom.txt"
"124"	"will"	"l"	1	192	"l"	"Normal"	"p10crandom.txt"
"125"	"will"	"l"	1	136	"l"	"Normal"	"p10crandom.txt"
"126"	"enevr"	"e"	0	257	"e"	"Normal"	"p10crandom.txt"
"127"	"enevr"	"n"	0	1168	"n"	"Normal"	"p10crandom.txt"
"128"	"enevr"	"e"	0	151	"e"	"Normal"	"p10crandom.txt"
"129"	"enevr"	"v"	0	88	"v"	"Normal"	"p10crandom.txt"
"130"	"enevr"	"r"	0	360	"r"	"Normal"	"p10crandom.txt"
"131"	"necome"	"n"	0	176	"n"	"Normal"	"p10crandom.txt"
"132"	"necome"	"e"	0	128	"e"	"Normal"	"p10crandom.txt"
"133"	"necome"	"c"	0	256	"c"	"Normal"	"p10crandom.txt"
"134"	"necome"	"o"	0	152	"o"	"Normal"	"p10crandom.txt"
"135"	"necome"	"m"	0	184	"m"	"Normal"	"p10crandom.txt"
"136"	"necome"	"e"	0	80	"e"	"Normal"	"p10crandom.txt"
"137"	"effective"	"e"	1	705	"e"	"Normal"	"p10crandom.txt"
"138"	"effective"	"f"	1	263	"f"	"Normal"	"p10crandom.txt"
"139"	"effective"	"f"	1	144	"f"	"Normal"	"p10crandom.txt"
"140"	"effective"	"e"	1	265	"e"	"Normal"	"p10crandom.txt"
"141"	"effective"	"c"	1	199	"c"	"Normal"	"p10crandom.txt"
"142"	"effective"	"t"	1	256	"t"	"Normal"	"p10crandom.txt"
"143"	"effective"	"i"	1	136	"i"	"Normal"	"p10crandom.txt"
"144"	"effective"	"v"	1	192	"v"	"Normal"	"p10crandom.txt"
"145"	"effective"	"e"	1	177	"e"	"Normal"	"p10crandom.txt"
"146"	"sheep"	"s"	1	184	"s"	"Normal"	"p10crandom.txt"
"147"	"sheep"	"h"	1	496	"h"	"Normal"	"p10crandom.txt"
"148"	"sheep"	"e"	1	128	"e"	"Normal"	"p10crandom.txt"
"149"	"sheep"	"e"	1	160	"e"	"Normal"	"p10crandom.txt"
"150"	"sheep"	"p"	1	144	"p"	"Normal"	"p10crandom.txt"
"151"	"workerd"	"w"	0	208	"w"	"Normal"	"p10crandom.txt"
"152"	"workerd"	"o"	0	152	"o"	"Normal"	"p10crandom.txt"
"153"	"workerd"	"r"	0	344	"r"	"Normal"	"p10crandom.txt"
"154"	"workerd"	"k"	0	680	"k"	"Normal"	"p10crandom.txt"
"155"	"workerd"	"e"	0	464	"e"	"Normal"	"p10crandom.txt"
"156"	"workerd"	"r"	0	288	"r"	"Normal"	"p10crandom.txt"
"157"	"workerd"	"d"	0	216	"d"	"Normal"	"p10crandom.txt"
"158"	"hoever"	"h"	0	688	"h"	"Normal"	"p10crandom.txt"
"159"	"hoever"	"o"	0	88	"o"	"Normal"	"p10crandom.txt"
"160"	"hoever"	"e"	0	864	"e"	"Normal"	"p10crandom.txt"
"161"	"hoever"	"v"	0	1345	"v"	"Normal"	"p10crandom.txt"
"162"	"hoever"	"e"	0	167	"e"	"Normal"	"p10crandom.txt"
"163"	"hoever"	"r"	0	64	"r"	"Normal"	"p10crandom.txt"
"164"	"long"	"l"	1	721	"l"	"Normal"	"p10crandom.txt"
"165"	"long"	"o"	1	159	"o"	"Normal"	"p10crandom.txt"
"166"	"long"	"n"	1	168	"n"	"Normal"	"p10crandom.txt"
"167"	"long"	"g"	1	104	"g"	"Normal"	"p10crandom.txt"
"168"	"they"	"t"	1	104	"t"	"Normal"	"p10crandom.txt"
"169"	"they"	"h"	1	65	"h"	"Normal"	"p10crandom.txt"
"170"	"they"	"e"	1	151	"e"	"Normal"	"p10crandom.txt"
"171"	"they"	"y"	1	728	"y"	"Normal"	"p10crandom.txt"
"172"	"are"	"a"	1	208	"a"	"Normal"	"p10crandom.txt"
"173"	"are"	"r"	1	256	"r"	"Normal"	"p10crandom.txt"
"174"	"are"	"e"	1	64	"e"	"Normal"	"p10crandom.txt"
"175"	"trained."	"t"	1	72	"t"	"Normal"	"p10crandom.txt"
"176"	"trained."	"r"	1	192	"r"	"Normal"	"p10crandom.txt"
"177"	"trained."	"a"	1	249	"a"	"Normal"	"p10crandom.txt"
"178"	"trained."	"i"	1	167	"i"	"Normal"	"p10crandom.txt"
"179"	"trained."	"n"	1	160	"n"	"Normal"	"p10crandom.txt"
"180"	"trained."	"e"	1	1496	"e"	"Normal"	"p10crandom.txt"
"181"	"trained."	"d"	1	192	"d"	"Normal"	"p10crandom.txt"
