"wordrep"	"letters"	"word_accuracy"	"best_match"	"str_distance"	"correct_word_length"	"proportion_letter_correct"	"iksis"	"responses"	"suppression"	"subject"
"64"	"train,"	","	1	"train,"	0	6	1	201	","	"Normal"	"p10crandom.txt"
"65"	"yet"	"y"	1	"yet"	0	3	1	136	"y"	"Normal"	"p10crandom.txt"
"66"	"yet"	"e"	1	"yet"	0	3	1	112	"e"	"Normal"	"p10crandom.txt"
"67"	"yet"	"t"	1	"yet"	0	3	1	200	"t"	"Normal"	"p10crandom.txt"
"68"	"there"	"t"	1	"there"	0	5	1	105	"t"	"Normal"	"p10crandom.txt"
"69"	"there"	"h"	1	"there"	0	5	1	151	"h"	"Normal"	"p10crandom.txt"
"70"	"there"	"e"	1	"there"	0	5	1	104	"e"	"Normal"	"p10crandom.txt"
"71"	"there"	"r"	1	"there"	0	5	1	64	"r"	"Normal"	"p10crandom.txt"
"72"	"there"	"e"	1	"there"	0	5	1	136	"e"	"Normal"	"p10crandom.txt"
"73"	"are"	"a"	1	"are"	0	3	1	56	"a"	"Normal"	"p10crandom.txt"
"74"	"are"	"r"	1	"are"	0	3	1	224	"r"	"Normal"	"p10crandom.txt"
"75"	"are"	"e"	1	"are"	0	3	1	81	"e"	"Normal"	"p10crandom.txt"
"76"	"some"	"s"	1	"some"	0	4	1	80	"s"	"Normal"	"p10crandom.txt"
"77"	"some"	"o"	1	"some"	0	4	1	128	"o"	"Normal"	"p10crandom.txt"
"78"	"some"	"m"	1	"some"	0	4	1	192	"m"	"Normal"	"p10crandom.txt"
"79"	"some"	"e"	1	"some"	0	4	1	88	"e"	"Normal"	"p10crandom.txt"
"80"	"fdogs"	"f"	0	"dogs"	1	4	0.75	153	"f"	"Normal"	"p10crandom.txt"
"81"	"fdogs"	"d"	0	"dogs"	1	4	0.75	656	"d"	"Normal"	"p10crandom.txt"
"82"	"fdogs"	"o"	0	"dogs"	1	4	0.75	208	"o"	"Normal"	"p10crandom.txt"
"83"	"fdogs"	"g"	0	"dogs"	1	4	0.75	128	"g"	"Normal"	"p10crandom.txt"
"84"	"fdogs"	"s"	0	"dogs"	1	4	0.75	480	"s"	"Normal"	"p10crandom.txt"
"85"	"that"	"t"	1	"that"	0	4	1	287	"t"	"Normal"	"p10crandom.txt"
"86"	"that"	"h"	1	"that"	0	4	1	136	"h"	"Normal"	"p10crandom.txt"
"87"	"that"	"a"	1	"that"	0	4	1	128	"a"	"Normal"	"p10crandom.txt"
"88"	"that"	"t"	1	"that"	0	4	1	104	"t"	"Normal"	"p10crandom.txt"
"89"	"have"	"h"	1	"have"	0	4	1	152	"h"	"Normal"	"p10crandom.txt"
"90"	"have"	"a"	1	"have"	0	4	1	88	"a"	"Normal"	"p10crandom.txt"
"91"	"have"	"v"	1	"have"	0	4	1	104	"v"	"Normal"	"p10crandom.txt"
"92"	"have"	"e"	1	"have"	0	4	1	48	"e"	"Normal"	"p10crandom.txt"
"93"	"no"	"n"	1	"no"	0	2	1	152	"n"	"Normal"	"p10crandom.txt"
"94"	"no"	"o"	1	"no"	0	2	1	152	"o"	"Normal"	"p10crandom.txt"
"95"	"working"	"w"	1	"working"	0	7	1	120	"w"	"Normal"	"p10crandom.txt"
"96"	"working"	"o"	1	"working"	0	7	1	104	"o"	"Normal"	"p10crandom.txt"
"97"	"working"	"r"	1	"working"	0	7	1	128	"r"	"Normal"	"p10crandom.txt"
"98"	"working"	"k"	1	"working"	0	7	1	80	"k"	"Normal"	"p10crandom.txt"
"99"	"working"	"i"	1	"working"	0	7	1	168	"i"	"Normal"	"p10crandom.txt"
"100"	"working"	"n"	1	"working"	0	7	1	176	"n"	"Normal"	"p10crandom.txt"
"101"	"working"	"g"	1	"working"	0	7	1	72	"g"	"Normal"	"p10crandom.txt"
"102"	"instinct"	"i"	1	"instinct"	0	8	1	72	"i"	"Normal"	"p10crandom.txt"
"103"	"instinct"	"n"	1	"instinct"	0	8	1	200	"n"	"Normal"	"p10crandom.txt"
"104"	"instinct"	"s"	1	"instinct"	0	8	1	128	"s"	"Normal"	"p10crandom.txt"
"105"	"instinct"	"t"	1	"instinct"	0	8	1	817	"t"	"Normal"	"p10crandom.txt"
"106"	"instinct"	"i"	1	"instinct"	0	8	1	79	"i"	"Normal"	"p10crandom.txt"
"107"	"instinct"	"n"	1	"instinct"	0	8	1	176	"n"	"Normal"	"p10crandom.txt"
"108"	"instinct"	"c"	1	"instinct"	0	8	1	96	"c"	"Normal"	"p10crandom.txt"
"109"	"instinct"	"t"	1	"instinct"	0	8	1	232	"t"	"Normal"	"p10crandom.txt"
"110"	"whatever,"	"w"	1	"whatever,"	0	9	1	119	"w"	"Normal"	"p10crandom.txt"
"111"	"whatever,"	"h"	1	"whatever,"	0	9	1	144	"h"	"Normal"	"p10crandom.txt"
"112"	"whatever,"	"a"	1	"whatever,"	0	9	1	72	"a"	"Normal"	"p10crandom.txt"
"113"	"whatever,"	"t"	1	"whatever,"	0	9	1	417	"t"	"Normal"	"p10crandom.txt"
"114"	"whatever,"	"e"	1	"whatever,"	0	9	1	431	"e"	"Normal"	"p10crandom.txt"
"115"	"whatever,"	"v"	1	"whatever,"	0	9	1	88	"v"	"Normal"	"p10crandom.txt"
"116"	"whatever,"	"e"	1	"whatever,"	0	9	1	152	"e"	"Normal"	"p10crandom.txt"
"117"	"whatever,"	"r"	1	"whatever,"	0	9	1	33	"r"	"Normal"	"p10crandom.txt"
"118"	"whatever,"	","	1	"whatever,"	0	9	1	263	","	"Normal"	"p10crandom.txt"
"119"	"and"	"a"	1	"and"	0	3	1	192	"a"	"Normal"	"p10crandom.txt"
"120"	"and"	"n"	1	"and"	0	3	1	160	"n"	"Normal"	"p10crandom.txt"
"121"	"and"	"d"	1	"and"	0	3	1	64	"d"	"Normal"	"p10crandom.txt"
"122"	"will"	"w"	1	"will"	0	4	1	152	"w"	"Normal"	"p10crandom.txt"
"123"	"will"	"i"	1	"will"	0	4	1	192	"i"	"Normal"	"p10crandom.txt"
"124"	"will"	"l"	1	"will"	0	4	1	192	"l"	"Normal"	"p10crandom.txt"
"125"	"will"	"l"	1	"will"	0	4	1	136	"l"	"Normal"	"p10crandom.txt"
"126"	"enevr"	"e"	0	"never"	2	5	0.6	257	"e"	"Normal"	"p10crandom.txt"
"127"	"enevr"	"n"	0	"never"	2	5	0.6	1168	"n"	"Normal"	"p10crandom.txt"
"128"	"enevr"	"e"	0	"never"	2	5	0.6	151	"e"	"Normal"	"p10crandom.txt"
"129"	"enevr"	"v"	0	"never"	2	5	0.6	88	"v"	"Normal"	"p10crandom.txt"
"130"	"enevr"	"r"	0	"never"	2	5	0.6	360	"r"	"Normal"	"p10crandom.txt"
"131"	"necome"	"n"	0	"become"	1	6	0.833333333333333	176	"n"	"Normal"	"p10crandom.txt"
"132"	"necome"	"e"	0	"become"	1	6	0.833333333333333	128	"e"	"Normal"	"p10crandom.txt"
"133"	"necome"	"c"	0	"become"	1	6	0.833333333333333	256	"c"	"Normal"	"p10crandom.txt"
"134"	"necome"	"o"	0	"become"	1	6	0.833333333333333	152	"o"	"Normal"	"p10crandom.txt"
"135"	"necome"	"m"	0	"become"	1	6	0.833333333333333	184	"m"	"Normal"	"p10crandom.txt"
"136"	"necome"	"e"	0	"become"	1	6	0.833333333333333	80	"e"	"Normal"	"p10crandom.txt"
